"Date","Price","Open","High","Low","Vol.","Change %"
"20/03/2020","1,455.37","1,455.37","1,455.37","1,455.37","","-1.69%"
"19/03/2020","1,480.37","1,462.07","2,050.82","1,425.81","","0.16%"
"18/03/2020","1,478.07","1,470.21","2,050.73","1,398.12","","-4.88%"
"17/03/2020","1,553.94","1,503.56","1,777.88","1,454.03","","5.83%"
"16/03/2020","1,468.31","2,050.55","2,050.55","1,451.43","","-11.46%"
"13/03/2020","1,658.43","1,610.26","2,050.28","1,528.04","","9.45%"
"12/03/2020","1,515.21","2,050.20","2,050.20","1,515.21","","-9.84%"
"11/03/2020","1,680.58","1,719.66","1,726.35","1,659.52","","-4.92%"
"10/03/2020","1,767.47","1,743.49","2,050.02","1,675.91","","5.21%"
"09/03/2020","1,679.88","2,049.93","2,049.93","1,671.25","","-7.77%"
"06/03/2020","1,821.36","1,797.20","1,829.93","1,778.41","","-1.75%"
"05/03/2020","1,853.79","1,870.37","1,889.71","1,839.18","","-3.30%"
"04/03/2020","1,917.04","1,877.16","1,917.35","1,860.03","","4.18%"
"03/03/2020","1,840.13","1,888.98","2,049.40","1,824.17","","-2.88%"
"02/03/2020","1,894.79","1,829.58","1,894.79","1,806.21","","4.74%"
"28/02/2020","1,808.96","1,777.12","2,049.05","1,750.81","","-0.87%"
"27/02/2020","1,824.92","1,874.51","1,897.54","1,824.92","","-4.39%"
"26/02/2020","1,908.78","1,928.24","1,947.18","1,905.06","","-0.40%"
"25/02/2020","1,916.49","1,979.67","1,979.67","1,910.16","","-2.67%"
"24/02/2020","1,969.05","1,971.35","1,984.59","1,962.14","","-2.29%"
"21/02/2020","2,015.21","2,018.52","2,019.72","2,011.46","","-0.15%"
"20/02/2020","2,018.14","2,018.09","2,018.23","2,014.67","","0.01%"
"19/02/2020","2,017.90","2,017.64","2,017.99","2,015.31","","0.07%"
"18/02/2020","2,016.58","2,015.47","2,016.76","2,014.22","","0.06%"
"14/02/2020","2,015.46","2,014.67","2,015.49","2,013.70","","0.08%"
"13/02/2020","2,013.79","2,011.36","2,014.67","2,011.21","","-0.02%"
"12/02/2020","2,014.10","2,012.73","2,014.34","2,012.34","","0.23%"
"11/02/2020","2,009.55","2,011.00","2,012.22","2,008.66","","0.08%"
"10/02/2020","2,007.88","1,998.55","2,007.88","1,998.55","","0.37%"
"07/02/2020","2,000.44","2,001.02","2,004.31","1,998.32","","-0.20%"
"06/02/2020","2,004.52","2,002.64","2,004.89","2,000.30","","0.18%"
"05/02/2020","2,000.85","1,998.93","2,001.34","1,993.55","","0.63%"
"04/02/2020","1,988.24","1,985.59","1,991.46","1,983.41","","1.11%"
"03/02/2020","1,966.48","1,964.90","1,976.02","1,963.92","","0.68%"
"31/01/2020","1,953.18","1,976.89","1,977.68","1,946.61","","-1.38%"
"30/01/2020","1,980.60","1,965.40","1,981.15","1,960.78","","0.31%"
